date,code,ipodate,code_nam,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2000-04-03,sh.600000,1999-11-10,浦发银行,2.4437196000,2.4728115000,2.4340223000,2.4475985200,2.4456590600,3498400,88393318.0000,2,0.874600,1,0.079304,0
2000-04-04,sh.600000,1999-11-10,浦发银行,2.4437196000,2.4437196000,2.4107487800,2.4146277000,2.4475985200,4307082,107536323.0000,2,1.076771,1,-1.347069,0
2000-04-05,sh.600000,1999-11-10,浦发银行,2.4146277000,2.4718417700,2.4126882400,2.4388709500,2.4146277000,3427019,85948606.0000,2,0.856755,1,1.004016,0
2000-04-06,sh.600000,1999-11-10,浦发银行,2.4388709500,2.4621444700,2.4301433800,2.4543866300,2.4388709500,2927597,73823696.0000,2,0.731899,1,0.636182,0
2000-04-07,sh.600000,1999-11-10,浦发银行,2.4650536600,2.5116007000,2.4611747400,2.4912363700,2.4543866300,6006321,154300910.0000,2,1.501580,1,1.501387,0
2000-04-10,sh.600000,1999-11-10,浦发银行,2.4941455600,2.5116007000,2.4660233900,2.4766904200,2.4912363700,3327829,85045430.0000,2,0.831957,1,-0.583883,0
2000-04-11,sh.600000,1999-11-10,浦发银行,2.4825088000,2.5290558400,2.4631142000,2.4786298800,2.4766904200,6213920,159922397.0000,2,1.553480,1,0.078303,0
2000-04-12,sh.600000,1999-11-10,浦发银行,2.4844482600,2.5212980000,2.4582655500,2.4679628500,2.4786298800,4634405,119159205.0000,2,1.158601,1,-0.430355,0
2000-04-13,sh.600000,1999-11-10,浦发银行,2.4679628500,2.5096612400,2.4631142000,2.4825088000,2.4679628500,4206547,107735819.0000,2,1.051637,1,0.589389,0
2000-04-14,sh.600000,1999-11-10,浦发银行,2.4902666400,2.5406926000,2.4825088000,2.5048125900,2.4825088000,11250459,291591767.0000,2,2.812615,1,0.898436,0
2000-04-17,sh.600000,1999-11-10,浦发银行,2.5212980000,2.5406926000,2.4417801400,2.4534169000,2.5048125900,7976887,204556962.0000,2,1.994222,1,-2.051880,0
2000-04-18,sh.600000,1999-11-10,浦发银行,2.4543866300,2.4679628500,2.4252947300,2.4553563600,2.4534169000,3894519,98184097.0000,2,0.973630,1,0.079053,0
2000-04-19,sh.600000,1999-11-10,浦发银行,2.4679628500,2.4999639400,2.4427498700,2.4534169000,2.4553563600,2755574,69942881.0000,2,0.688893,1,-0.078991,0
2000-04-20,sh.600000,1999-11-10,浦发银行,2.4534169000,2.4728115000,2.4427498700,2.4553563600,2.4534169000,3636678,91864727.0000,2,0.909170,1,0.079053,0
2000-04-21,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4718417700,2.4243250000,2.4388709500,2.4553563600,3965515,99685689.0000,2,0.991379,1,-0.671406,0
2000-04-24,sh.600000,1999-11-10,浦发银行,2.4388709500,2.4437196000,2.4000817500,2.4068698600,2.4388709500,5913794,147290986.0000,2,1.478449,1,-1.312127,0
2000-04-25,sh.600000,1999-11-10,浦发银行,2.4059001300,2.4330525700,2.4029909400,2.4088093200,2.4068698600,2309521,57489169.0000,2,0.577380,1,0.080582,0
2000-04-26,sh.600000,1999-11-10,浦发银行,2.4126882400,2.4795996100,2.4049304000,2.4243250000,2.4088093200,3559390,89234644.0000,2,0.889847,1,0.644122,0
2000-04-27,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4437196000,2.3932936400,2.3991120200,2.4243250000,3284172,81550296.0000,2,0.821043,1,-1.040001,0
2000-04-28,sh.600000,1999-11-10,浦发银行,2.3991120200,2.4243250000,2.3903844500,2.4243250000,2.3991120200,3210849,79526614.0000,2,0.802712,1,1.050931,0
2000-05-08,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4243250000,2.4243250000,2.4243250000,2.4243250000,0,0.0000,2,,0,0.000000,0
2000-05-09,sh.600000,1999-11-10,浦发银行,2.4146277000,2.4146277000,2.3612925500,2.3690503900,2.4243250000,2606070,63808332.0000,2,0.651517,1,-2.279999,0
2000-05-10,sh.600000,1999-11-10,浦发银行,2.3661412000,2.3768082300,2.3254125400,2.3273520000,2.3690503900,5873823,141397664.0000,2,1.468456,1,-1.760132,0
2000-05-11,sh.600000,1999-11-10,浦发银行,2.3273520000,2.3535347100,2.3079574000,2.3176547000,2.3273520000,3388286,81370247.0000,2,0.847071,1,-0.416668,0
2000-05-12,sh.600000,1999-11-10,浦发银行,2.3205638900,2.3370493000,2.3128060500,2.3215336200,2.3176547000,2969271,71131310.0000,2,0.742318,1,0.167368,0
2000-05-15,sh.600000,1999-11-10,浦发银行,2.3225033500,2.3273520000,2.2313487300,2.2361973800,2.3215336200,4078342,94939549.0000,2,1.019586,1,-3.675861,0
2000-05-16,sh.600000,1999-11-10,浦发银行,2.2371671100,2.2740168500,2.2361973800,2.2497736000,2.2361973800,2071322,48081624.0000,2,0.517830,1,0.607117,0
2000-05-17,sh.600000,1999-11-10,浦发银行,2.2546222500,2.2643195500,2.2361973800,2.2449249500,2.2497736000,2133628,49378357.0000,2,0.533407,1,-0.215522,0
2000-05-18,sh.600000,1999-11-10,浦发银行,2.2449249500,2.2594709000,2.2303790000,2.2546222500,2.2449249500,2946688,68124880.0000,2,0.736672,1,0.431967,0
2000-05-19,sh.600000,1999-11-10,浦发银行,2.2594709000,2.2972903700,2.2546222500,2.2788655000,2.2546222500,2792052,65444252.0000,2,0.698013,1,1.075269,0
2000-05-22,sh.600000,1999-11-10,浦发银行,2.2788655000,2.3157152400,2.2594709000,2.2972903700,2.2788655000,3608195,84995622.0000,2,0.902049,1,0.808513,0
2000-05-23,sh.600000,1999-11-10,浦发银行,2.3128060500,2.3234730800,2.2594709000,2.2759563100,2.2972903700,2887979,67951037.0000,2,0.721995,1,-0.928667,0
2000-05-24,sh.600000,1999-11-10,浦发银行,2.2788655000,2.3079574000,2.2594709000,2.2914719900,2.2759563100,3456480,81374021.0000,2,0.864120,1,0.681721,0
2000-05-25,sh.600000,1999-11-10,浦发银行,2.2982601000,2.3758385000,2.2934114500,2.3554741700,2.2914719900,7604321,183401585.0000,2,1.901080,1,2.793067,0
2000-05-26,sh.600000,1999-11-10,浦发银行,2.3593530900,2.3709898500,2.3128060500,2.3176547000,2.3554741700,3614987,86693231.0000,2,0.903747,1,-1.605604,0
2000-05-29,sh.600000,1999-11-10,浦发银行,2.3176547000,2.3254125400,2.2885628000,2.3021390200,2.3176547000,3147735,74592064.0000,2,0.786934,1,-0.669455,0
2000-05-30,sh.600000,1999-11-10,浦发银行,2.3021390200,2.3225033500,2.2643195500,2.2691682000,2.3021390200,2970693,70035539.0000,2,0.742673,1,-1.432183,0
2000-05-31,sh.600000,1999-11-10,浦发银行,2.2691682000,2.3157152400,2.2594709000,2.2740168500,2.2691682000,3597344,84459834.0000,2,0.899336,1,0.213680,0
2000-06-01,sh.600000,1999-11-10,浦发银行,2.2788655000,2.2963206400,2.2652892800,2.2730471200,2.2740168500,2270325,53251012.0000,2,0.567581,1,-0.042645,0
