code,rps,gains
sh.603063,98.56497475418549,95.88377723970945
sz.002466,98.53840021259633,95.7336523125997
sz.000516,98.51182567100719,95.6026058631922
sz.002460,98.48525112941802,95.39267015706805
sz.300677,98.45867658782886,94.06787912443589
sh.603345,98.4321020462397,93.84724186704385
sh.600346,98.40552750465055,93.61488185017596
sh.601100,98.37895296306138,90.77594266126516
sz.300124,98.35237842147222,90.54707133191572
sz.002064,98.32580387988307,90.09370816599733
sz.300014,98.29922933829391,89.4104999104103
sh.601966,98.27265479670476,89.29874341305228
sz.300712,98.2460802551156,89.14392059553347
sz.300722,98.21950571352644,88.77057115198451
sh.603919,98.19293117193727,87.48538011695906
sh.688036,98.16635663034813,87.34177215189874
sz.002553,98.13978208875896,86.73184357541898
sz.002390,98.11320754716981,85.51587301587301
sz.300581,98.08663300558067,84.9824208940231
sh.600392,98.0600584639915,84.47339847991312
sh.603218,98.03348392240234,82.92091217855412
sh.600438,98.00690938081318,82.87204171680708
sh.603882,97.98033483922403,81.98573779484364
sz.300595,97.95376029763486,80.95838587641867
sh.603225,97.9271857560457,80.87971274685815
sh.600586,97.90061121445655,80.5626598465473
sz.002459,97.87403667286739,79.99999999999999
sz.000633,97.84746213127823,79.68397291196389
sz.000001,97.82088758968908,79.3525179856115
sz.002747,97.79431304809992,78.92540427751692
sh.603877,97.76773850651075,78.5923753665689
sh.600309,97.74116396492161,77.54662840746053
sh.603313,97.71458942333244,77.18253968253968
sh.600176,97.68801488174329,77.09251101321588
sz.300750,97.66144034015414,76.57210401891253
sh.600877,97.63486579856497,76.07726597325407
sh.600499,97.60829125697582,75.98253275109171
sz.000890,97.58171671538666,75.26881720430106
sz.300015,97.5551421737975,75.14919011082695
sh.600426,97.52856763220834,73.51072279586973
sh.600763,97.5019930906192,73.21473440876426
sz.000708,97.47541854903002,72.57559958289886
sz.002501,97.44884400744087,72.41379310344827
sh.603915,97.42226946585171,71.02922490470142
sh.600926,97.39569492426256,70.31872509960162
sz.002139,97.3691203826734,69.67213114754098
sz.002601,97.34254584108425,69.53579509903805
sh.603008,97.31597129949509,69.25566343042074
sh.600436,97.28939675790592,69.12125675012274
sz.002430,97.26282221631676,69.05503634475598
sh.603416,97.23624767472762,68.40453356582388
sh.603613,97.20967313313845,67.89862724392817
sh.601908,97.1830985915493,67.33870967741937
sh.603128,97.15652404996014,66.50943396226414
sh.603833,97.12994950837098,66.3128890703133
sz.002444,97.10337496678181,66.28175519630486
